lipinskiHBD,NumHBD,NumHeterocycles,CrippenClogP,hallKierAlpha,logPerm
1.0,1.0,0.0,3.6808000000000014,-2.16,5.3471075307174685
2.0,1.0,0.0,3.081500000000001,-2.16,5.393627546352362
3.0,3.0,0.0,-1.6681,-0.12,3.80666248977032
3.0,3.0,0.0,1.7815999999999996,-1.0400000000000005,4.442651256490317
1.0,1.0,1.0,3.9273200000000026,-2.79,6.536691597591305
2.0,2.0,0.0,2.3334000000000006,-1.39,5.669880923
6.0,6.0,0.0,-3.585399999999998,-0.24,3.1780538303479458
2.0,1.0,1.0,-1.4237999999999995,-1.06,3.258096538021482
3.0,2.0,1.0,-1.3915299999999995,-0.7300000000000002,2.0541237336955462
2.0,2.0,0.0,1.6131999999999995,-1.1,5.634789603169249
2.0,2.0,0.0,1.776399999999999,-2.12,3.871201010907891
2.0,2.0,0.0,1.9891,-1.52,5.768320995793772
2.0,2.0,0.0,3.472000000000002,-1.06,5.393627546352362
3.0,3.0,0.0,0.6449999999999998,-1.06,2.2407096892759584
0.0,0.0,2.0,1.1618000000000002,-1.32,5.135798437050262
3.0,3.0,1.0,1.9056,-1.5199999999999998,4.605170185988092
2.0,2.0,0.0,2.1284000000000005,-1.79,5.799092654460526
0.0,0.0,0.0,4.723500000000005,-0.9200000000000002,5.298317366548037
2.0,2.0,5.0,1.5545,-1.1,4.5217885770490405
1.0,1.0,1.0,1.3495,-1.22,6.194405391104672
3.0,3.0,0.0,1.0895,-1.11,1.9459101490553128
8.0,8.0,2.0,-5.395599999999995,-0.4399999999999999,3.7612001156935615
3.0,2.0,0.0,0.0936,-1.5599999999999998,2.9444389791664403
4.0,2.0,0.0,-0.0837999999999999,-1.07,1.6094379124341005
3.0,2.0,1.0,0.2102999999999998,-1.4,3.4011973816621555
1.0,1.0,0.0,3.879200000000004,-0.6300000000000001,6.040254711277414
1.0,1.0,0.0,2.617000000000001,-1.55,2.708050201
2.0,1.0,2.0,0.7321,-1.62,4.3694478524670215
2.0,1.0,2.0,1.3854999999999995,-1.33,4.867534450455582
2.0,1.0,2.0,1.3855000000000004,-1.33,4.418840607796598
2.0,1.0,2.0,0.7406999999999999,-1.8200000000000005,3.80666248977032
2.0,1.0,2.0,0.7406999999999999,-1.8200000000000005,3.951243718581428
3.0,2.0,2.0,0.4376999999999993,-1.82,1.252762968495368
3.0,3.0,0.0,2.3655,-1.92,2.3978952727983707
3.0,2.0,1.0,-0.8561000000000003,-1.06,2.251291798606496
3.0,2.0,1.0,0.4378000000000001,-1.84,1.791759469228055
3.0,2.0,1.0,0.4802999999999999,-1.3200000000000005,1.7227665977411035
2.0,1.0,1.0,-0.8317999999999999,-1.06,3.1354942159291497
2.0,1.0,0.0,1.2687999999999997,-0.98,5.886104031450156
3.0,2.0,0.0,1.2271999999999998,-1.51,3.583518938
4.0,2.0,0.0,0.3677000000000003,-1.51,2.833213344056216
3.0,2.0,0.0,0.7611000000000001,-1.02,5.135798437050262
3.0,2.0,0.0,0.8036000000000001,-1.02,5.298317366548037
2.0,1.0,0.0,1.9222,-0.69,5.857933154483459
2.0,1.0,0.0,1.6674999999999998,-1.1800000000000002,5.736572297479192
2.0,1.0,0.0,1.8312,-0.98,5.598421958998375
2.0,1.0,0.0,2.3922,-0.98,5.480638923341991
2.0,1.0,0.0,1.2774,-1.1800000000000002,5.857933154483459
2.0,1.0,0.0,1.5772199999999998,-0.98,5.703782474656201
4.0,3.0,0.0,0.4521,-1.59,2.3978952727983707
3.0,2.0,1.0,-0.0136999999999998,-1.56,1.1939224684724346
2.0,2.0,0.0,2.5842200000000006,-2.2399999999999998,6.29156914
2.0,1.0,1.0,-0.1516999999999999,-0.5800000000000001,1.4350845252893227
2.0,2.0,1.0,3.416700000000002,-1.3199999999999998,6.579251212010101
3.0,3.0,0.0,0.9089999999999998,-1.4099999999999997,4.219507705176107
2.0,1.0,1.0,1.5059,-1.02,5.192956851
0.0,0.0,2.0,1.8677,-1.88,4.110873864173311
2.0,2.0,0.0,2.810800000000002,-1.0000000000000002,5.703782474656201
3.0,3.0,2.0,2.1145,-4.64,2.3978952727983707
1.0,1.0,1.0,1.884,0.69,4.700480365792417
5.0,5.0,1.0,3.2690000000000063,-6.130000000000001,4.700480365792417
1.0,1.0,0.0,3.695900000000002,-0.96,5.991464547107982
4.0,4.0,0.0,-2.3496,-0.4899999999999999,4.304065093
3.0,3.0,1.0,-1.148,-0.2,3.367295829986474
3.0,3.0,1.0,-0.7594999999999996,-0.2,2.8903717578961645
3.0,3.0,0.0,1.8957,-1.3700000000000003,3.9120230054281455
4.0,4.0,0.0,-2.071199999999996,-2.2,3.044522437723423
3.0,2.0,0.0,-1.0626,-0.08,1.6094379124341005
3.0,2.0,1.0,0.6493,-1.1800000000000002,4.025351691
2.0,1.0,1.0,1.5970999999999995,-0.6900000000000002,6.063785208687608
2.0,1.0,1.0,2.2505,-0.4000000000000002,5.966146739123692
4.0,2.0,1.0,0.5259,-1.1800000000000002,4.204692619390966
2.0,1.0,1.0,0.8518999999999997,-1.58,4.189654742026425
3.0,2.0,1.0,0.3148000000000001,-1.2200000000000002,2.708050201
2.0,1.0,1.0,2.5227000000000004,-1.9599999999999995,6.152732694704104
3.0,2.0,1.0,0.9021,-1.5100000000000002,3.8501476017100575
2.0,1.0,2.0,0.8712000000000002,-1.6900000000000004,4.158883083359672
2.0,1.0,2.0,0.8712000000000002,-1.6900000000000002,3.713572066704308
2.0,1.0,2.0,0.7980999999999998,-1.8200000000000005,4.060443010546419
2.0,2.0,1.0,2.4188,-1.41,4.787491742782046
2.0,1.0,1.0,-0.0735000000000002,-0.1900000000000001,4.174387269895637
2.0,1.0,1.0,-0.8814,-1.2700000000000005,3.6635616461296463
2.0,1.0,1.0,2.2621,-0.58,5.886104031450156
1.0,1.0,2.0,1.9309,-1.3899999999999997,1.7298840655099674
3.0,2.0,0.0,2.8894,-2.14,1.383791230901772
2.0,2.0,0.0,4.364100000000001,-1.7099999999999995,1.824549292051046
1.0,1.0,2.0,0.7357999999999993,-2.68,2.299580583973747
1.0,1.0,1.0,4.894080000000004,-2.7099999999999995,1.4060969884160703
1.0,1.0,4.0,3.173200000000002,-1.91,2.1610215286722587
2.0,2.0,2.0,1.7157999999999998,-1.4,3.850998303590372
